year,start_date,end_date,start_close,end_close,annual_return,max_drawdown_from_year_high,year_high,year_low,trading_days,source
1989,1989-01-03,1989-12-29,275.3100,353.4000,0.272505,-0.092443,360.4400,273.8100,252,Yahoo Finance chart API ^GSPC
1990,1990-01-02,1990-12-31,359.6900,330.2200,-0.065591,-0.203553,369.7800,294.5100,253,Yahoo Finance chart API ^GSPC
1991,1991-01-02,1991-12-31,326.4500,417.0900,0.263067,-0.067450,418.3200,309.3500,253,Yahoo Finance chart API ^GSPC
1992,1992-01-02,1992-12-31,417.2600,435.7100,0.044643,-0.068308,442.6500,392.4100,254,Yahoo Finance chart API ^GSPC
1993,1993-01-04,1993-12-31,435.3800,466.4500,0.070552,-0.053551,471.2900,426.8800,253,Yahoo Finance chart API ^GSPC
1994,1994-01-03,1994-12-30,465.4400,459.2700,-0.015393,-0.097318,482.8500,435.8600,252,Yahoo Finance chart API ^GSPC
1995,1995-01-03,1995-12-29,459.1100,615.9300,0.341107,-0.036292,622.8800,457.2000,252,Yahoo Finance chart API ^GSPC
1996,1996-01-02,1996-12-31,620.7300,740.7400,0.202637,-0.110439,762.1200,597.2900,254,Yahoo Finance chart API ^GSPC
1997,1997-01-02,1997-12-31,737.0100,970.4300,0.310082,-0.130045,986.2500,729.5500,253,Yahoo Finance chart API ^GSPC
1998,1998-01-02,1998-12-31,975.0400,1229.2300,0.266686,-0.224479,1244.9301,912.8300,252,Yahoo Finance chart API ^GSPC
1999,1999-01-04,1999-12-31,1228.1000,1469.2500,0.195260,-0.131399,1473.1000,1205.4600,252,Yahoo Finance chart API ^GSPC
2000,2000-01-03,2000-12-29,1455.2200,1320.2800,-0.101392,-0.192418,1552.8700,1254.0699,252,Yahoo Finance chart API ^GSPC
2001,2001-01-02,2001-12-31,1283.2700,1148.0800,-0.130427,-0.317066,1383.3700,944.7500,248,Yahoo Finance chart API ^GSPC
2002,2002-01-02,2002-12-31,1154.6700,879.8200,-0.233660,-0.346942,1176.9700,768.6300,252,Yahoo Finance chart API ^GSPC
2003,2003-01-02,2003-12-31,909.0300,1111.9200,0.263804,-0.156302,1112.5601,788.9000,252,Yahoo Finance chart API ^GSPC
2004,2004-01-02,2004-12-31,1108.4800,1211.9200,0.089935,-0.088125,1217.3300,1060.7200,252,Yahoo Finance chart API ^GSPC
2005,2005-01-03,2005-12-30,1202.0800,1248.2900,0.030010,-0.075632,1275.8000,1136.1500,252,Yahoo Finance chart API ^GSPC
2006,2006-01-03,2006-12-29,1268.8000,1418.3000,0.136194,-0.080960,1431.8101,1219.2900,251,Yahoo Finance chart API ^GSPC
2007,2007-01-03,2007-12-31,1416.6000,1468.3600,0.035296,-0.119095,1576.0900,1363.9800,251,Yahoo Finance chart API ^GSPC
2008,2008-01-02,2008-12-31,1447.1600,903.2500,-0.384858,-0.496511,1471.7700,741.0200,253,Yahoo Finance chart API ^GSPC
2009,2009-01-02,2009-12-31,931.8000,1115.1000,0.234542,-0.293542,1130.3800,666.7900,252,Yahoo Finance chart API ^GSPC
2010,2010-01-04,2010-12-31,1132.9900,1257.6400,0.127827,-0.171249,1262.6000,1010.9100,252,Yahoo Finance chart API ^GSPC
2011,2011-01-03,2011-12-30,1271.8700,1257.6000,-0.000032,-0.215828,1370.5800,1074.7700,252,Yahoo Finance chart API ^GSPC
2012,2012-01-03,2012-12-31,1277.0601,1426.1899,0.134057,-0.109422,1474.5100,1258.8600,250,Yahoo Finance chart API ^GSPC
2013,2013-01-02,2013-12-31,1462.4200,1848.3600,0.296012,-0.075185,1849.4399,1426.1899,252,Yahoo Finance chart API ^GSPC
2014,2014-01-02,2014-12-31,1831.9800,2058.8999,0.113906,-0.098353,2093.5500,1737.9200,252,Yahoo Finance chart API ^GSPC
2015,2015-01-02,2015-12-31,2058.2000,2043.9399,-0.007266,-0.125408,2134.7200,1867.0100,252,Yahoo Finance chart API ^GSPC
2016,2016-01-04,2016-12-30,2012.6600,2238.8301,0.095350,-0.111912,2277.5300,1810.1000,252,Yahoo Finance chart API ^GSPC
2017,2017-01-03,2017-12-29,2257.8301,2673.6101,0.194200,-0.032791,2694.9700,2245.1299,251,Yahoo Finance chart API ^GSPC
2018,2018-01-02,2018-12-31,2695.8101,2506.8501,-0.062373,-0.202090,2940.9099,2346.5801,251,Yahoo Finance chart API ^GSPC
2019,2019-01-02,2019-12-31,2510.0300,3230.7800,0.288781,-0.076273,3247.9299,2443.9600,252,Yahoo Finance chart API ^GSPC
2020,2020-01-02,2020-12-31,3257.8501,3756.0701,0.162589,-0.354104,3760.2000,2191.8601,253,Yahoo Finance chart API ^GSPC
2021,2021-01-04,2021-12-31,3700.6499,4766.1802,0.268927,-0.058715,4808.9302,3662.7100,252,Yahoo Finance chart API ^GSPC
2022,2022-01-03,2022-12-30,4796.5601,3839.5000,-0.194428,-0.275398,4818.6201,3491.5801,251,Yahoo Finance chart API ^GSPC
2023,2023-01-03,2023-12-29,3824.1399,4769.8301,0.242305,-0.109243,4793.2998,3794.3301,250,Yahoo Finance chart API ^GSPC
2024,2024-01-02,2024-12-31,4742.8301,5881.6299,0.233090,-0.097080,6099.9702,4682.1099,252,Yahoo Finance chart API ^GSPC
2025,2025-01-02,2025-12-31,5868.5498,6845.5000,0.163878,-0.213486,6945.7700,4835.0400,250,Yahoo Finance chart API ^GSPC
2026,2026-01-02,2026-06-12,6858.4702,7431.4600,0.085598,-0.097878,7620.8999,6316.9102,112,Yahoo Finance chart API ^GSPC
